theta0;omega0;theta1;omega1;
-2.91;-0.429;-0.889;2.26;
-2.92;-0.372;-0.866;2.46;
-2.92;-0.312;-0.84;2.66;
-2.92;-0.248;-0.812;2.87;
-2.92;-0.18;-0.783;3.08;
-2.93;-0.108;-0.751;3.3;
-2.93;-0.0313;-0.717;3.52;
-2.93;0.0502;-0.68;3.74;
-2.93;0.137;-0.642;3.97;
-2.92;0.228;-0.601;4.21;
-2.92;0.325;-0.558;4.45;
-2.92;0.428;-0.512;4.7;
-2.91;0.536;-0.464;4.95;
-2.91;0.648;-0.413;5.2;
-2.9;0.765;-0.36;5.46;
-2.89;0.886;-0.304;5.72;
-2.88;1.01;-0.245;5.98;
-2.87;1.13;-0.184;6.23;
-2.86;1.26;-0.121;6.47;
-2.85;1.38;-0.0546;6.7;
-2.83;1.5;0.0135;6.92;
-2.82;1.6;0.0836;7.1;
-2.8;1.7;0.155;7.26;
-2.78;1.79;0.229;7.38;
-2.76;1.86;0.303;7.46;
-2.74;1.91;0.378;7.49;
-2.73;1.94;0.453;7.49;
-2.71;1.96;0.527;7.44;
-2.69;1.97;0.601;7.35;
-2.67;1.96;0.674;7.23;
-2.65;1.94;0.746;7.08;
-2.63;1.91;0.816;6.92;
-2.61;1.88;0.884;6.73;
-2.59;1.85;0.95;6.53;
-2.57;1.81;1.01;6.33;
-2.55;1.78;1.08;6.13;
-2.54;1.74;1.14;5.92;
-2.52;1.71;1.2;5.72;
-2.5;1.68;1.25;5.52;
-2.49;1.66;1.31;5.33;
-2.47;1.64;1.36;5.15;
-2.45;1.63;1.41;4.97;
-2.44;1.62;1.46;4.8;
-2.42;1.62;1.5;4.63;
-2.4;1.62;1.55;4.47;
-2.39;1.62;1.59;4.32;
-2.37;1.63;1.64;4.18;
-2.36;1.65;1.68;4.04;
-2.34;1.67;1.72;3.92;
-2.32;1.69;1.76;3.8;
-2.3;1.72;1.79;3.68;
-2.29;1.75;1.83;3.58;
-2.27;1.78;1.87;3.48;
-2.25;1.82;1.9;3.39;
-2.23;1.86;1.93;3.31;
-2.21;1.91;1.97;3.23;
-2.2;1.96;2;3.17;
-2.18;2.01;2.03;3.11;
-2.16;2.06;2.06;3.06;
-2.13;2.12;2.09;3.02;
-2.11;2.18;2.12;2.99;
-2.09;2.24;2.15;2.96;
-2.07;2.31;2.18;2.95;
-2.04;2.38;2.21;2.95;
-2.02;2.44;2.24;2.96;
-2;2.52;2.27;2.98;
-1.97;2.59;2.3;3.01;
-1.94;2.66;2.33;3.06;
-1.92;2.74;2.36;3.11;
-1.89;2.82;2.39;3.18;
-1.86;2.9;2.42;3.27;
-1.83;2.98;2.46;3.36;
-1.8;3.06;2.49;3.47;
-1.77;3.14;2.53;3.6;
-1.74;3.21;2.56;3.73;
-1.71;3.29;2.6;3.89;
-1.67;3.37;2.64;4.05;
-1.64;3.45;2.68;4.24;
-1.6;3.52;2.73;4.43;
-1.57;3.59;2.77;4.64;
-1.53;3.66;2.82;4.87;
-1.49;3.72;2.87;5.11;
-1.46;3.77;2.92;5.36;
-1.42;3.82;2.98;5.63;
-1.38;3.86;3.03;5.9;
-1.34;3.88;3.09;6.19;
-1.3;3.9;-3.13;6.49;
-1.26;3.91;-3.06;6.8;
-1.23;3.9;-2.99;7.12;
-1.19;3.87;-2.92;7.44;
-1.15;3.83;-2.84;7.78;
-1.11;3.77;-2.76;8.12;
-1.07;3.69;-2.68;8.47;
-1.04;3.59;-2.59;8.82;
-1;3.47;-2.5;9.19;
-0.967;3.32;-2.41;9.58;
-0.934;3.15;-2.31;9.98;
-0.904;2.95;-2.21;10.4;
-0.875;2.73;-2.1;10.9;
-0.849;2.47;-1.99;11.3;
-0.826;2.18;-1.88;11.9;
-0.806;1.86;-1.75;12.5;
-0.789;1.5;-1.63;13.2;
-0.776;1.1;-1.49;14;
-0.767;0.688;-1.35;14.8;
-0.762;0.274;-1.19;15.8;
-0.761;-0.0779;-1.03;16.6;
-0.763;-0.273;-0.862;17.1;
-0.766;-0.223;-0.69;17.2;
-0.767;0.0792;-0.521;16.7;
-0.764;0.551;-0.358;15.9;
-0.756;1.09;-0.203;15;
-0.742;1.65;-0.0584;14.1;
-0.723;2.18;0.078;13.2;
-0.698;2.68;0.206;12.4;
-0.669;3.15;0.327;11.7;
-0.635;3.58;0.441;11;
-0.598;3.96;0.547;10.3;
-0.556;4.31;0.647;9.62;
-0.512;4.63;0.739;8.9;
-0.464;4.9;0.825;8.17;
-0.414;5.14;0.903;7.41;
-0.361;5.34;0.973;6.62;
-0.307;5.52;1.04;5.8;
-0.251;5.66;1.09;4.95;
-0.194;5.78;1.13;4.08;
-0.135;5.89;1.17;3.19;
-0.0761;5.98;1.2;2.28;
-0.0159;6.06;1.22;1.36;
0.0452;6.15;1.22;0.414;
0.107;6.24;1.22;-0.545;
0.17;6.34;1.21;-1.53;
0.234;6.47;1.19;-2.53;
0.299;6.62;1.16;-3.58;
0.367;6.81;1.12;-4.67;
0.436;7.03;1.07;-5.79;
0.507;7.28;1.01;-6.93;
0.581;7.53;0.931;-8;
0.658;7.71;0.847;-8.82;
0.735;7.76;0.756;-9.18;
0.812;7.63;0.665;-8.97;
0.887;7.34;0.578;-8.28;
0.959;6.99;0.5;-7.34;
1.03;6.64;0.432;-6.35;
1.09;6.31;0.373;-5.4;
1.15;6.02;0.324;-4.52;
1.21;5.77;0.282;-3.73;
1.27;5.56;0.249;-3;
1.32;5.37;0.222;-2.34;
1.38;5.2;0.202;-1.74;
1.43;5.05;0.187;-1.18;
1.48;4.91;0.178;-0.658;
1.53;4.78;0.174;-0.175;
1.57;4.66;0.174;0.274;
1.62;4.55;0.179;0.693;
1.66;4.43;0.188;1.08;
1.71;4.33;0.201;1.44;
1.75;4.22;0.217;1.78;
1.79;4.11;0.236;2.09;
1.83;4;0.259;2.37;
1.87;3.89;0.284;2.63;
1.91;3.78;0.311;2.86;
1.95;3.67;0.341;3.07;
1.98;3.56;0.372;3.25;
2.02;3.44;0.406;3.41;
2.05;3.33;0.441;3.55;
2.09;3.21;0.477;3.67;
2.12;3.09;0.514;3.76;
2.15;2.97;0.552;3.84;
2.18;2.85;0.591;3.9;
2.2;2.73;0.63;3.94;
2.23;2.62;0.669;3.97;
2.26;2.5;0.709;3.98;
2.28;2.39;0.749;3.97;
2.3;2.27;0.788;3.95;
2.33;2.16;0.828;3.92;
2.35;2.06;0.867;3.88;
2.37;1.95;0.905;3.83;
2.39;1.85;0.944;3.77;
2.4;1.75;0.981;3.7;
2.42;1.65;1.02;3.62;
2.44;1.56;1.05;3.54;
2.45;1.47;1.09;3.45;
2.47;1.39;1.12;3.35;
2.48;1.31;1.16;3.24;
2.49;1.23;1.19;3.13;
2.51;1.16;1.22;3.02;
2.52;1.09;1.25;2.89;
2.53;1.02;1.28;2.77;
2.54;0.958;1.3;2.64;
2.55;0.898;1.33;2.51;
2.55;0.841;1.35;2.37;
2.56;0.788;1.38;2.23;
2.57;0.738;1.4;2.09;
2.58;0.69;1.42;1.94;
2.58;0.645;1.44;1.79;
2.59;0.603;1.45;1.64;
2.6;0.562;1.47;1.48;
2.6;0.524;1.48;1.33;
2.61;0.488;1.5;1.17;
2.61;0.454;1.51;1;
2.62;0.421;1.52;0.842;
2.62;0.389;1.52;0.678;
2.62;0.359;1.53;0.512;
2.63;0.329;1.53;0.346;
2.63;0.3;1.54;0.178;
2.63;0.271;1.54;0.00954;
2.64;0.243;1.54;-0.16;
2.64;0.214;1.53;-0.329;
2.64;0.186;1.53;-0.499;
2.64;0.157;1.52;-0.668;
2.64;0.127;1.52;-0.838;
2.64;0.096;1.51;-1.01;
2.65;0.0641;1.5;-1.18;
2.65;0.0307;1.48;-1.35;
2.65;-0.00424;1.47;-1.51;
2.65;-0.0411;1.45;-1.68;
2.65;-0.08;1.44;-1.85;
2.64;-0.121;1.42;-2.01;
2.64;-0.165;1.4;-2.18;
2.64;-0.212;1.37;-2.34;
2.64;-0.261;1.35;-2.5;
2.64;-0.314;1.32;-2.66;
2.63;-0.37;1.3;-2.82;
2.63;-0.43;1.27;-2.98;
2.62;-0.494;1.24;-3.14;
2.62;-0.562;1.2;-3.3;
2.61;-0.634;1.17;-3.45;
2.61;-0.71;1.13;-3.6;
2.6;-0.791;1.1;-3.75;
2.59;-0.876;1.06;-3.9;
2.58;-0.967;1.02;-4.05;
2.57;-1.06;0.978;-4.2;
2.56;-1.16;0.936;-4.34;
2.55;-1.27;0.891;-4.48;
2.53;-1.38;0.846;-4.62;
2.52;-1.49;0.799;-4.75;
2.5;-1.61;0.751;-4.88;
2.49;-1.74;0.701;-5.01;
2.47;-1.87;0.651;-5.12;
2.45;-2;0.599;-5.24;
2.43;-2.14;0.546;-5.34;
2.41;-2.28;0.492;-5.44;
2.38;-2.43;0.437;-5.52;
2.36;-2.57;0.382;-5.6;
2.33;-2.72;0.326;-5.66;
2.3;-2.87;0.269;-5.71;
2.27;-3.02;0.211;-5.74;
2.24;-3.17;0.154;-5.75;
2.21;-3.32;0.0965;-5.74;
2.18;-3.46;0.0392;-5.71;
2.14;-3.61;-0.0177;-5.66;
2.11;-3.75;-0.0739;-5.58;
2.07;-3.88;-0.129;-5.48;
2.03;-4;-0.183;-5.35;
1.99;-4.13;-0.236;-5.19;
1.95;-4.24;-0.287;-5;
1.9;-4.34;-0.336;-4.78;
1.86;-4.44;-0.383;-4.53;
1.81;-4.53;-0.427;-4.25;
1.77;-4.61;-0.467;-3.93;
1.72;-4.68;-0.505;-3.59;
1.67;-4.74;-0.539;-3.21;
1.63;-4.8;-0.569;-2.81;
1.58;-4.85;-0.595;-2.38;
1.53;-4.89;-0.617;-1.92;
1.48;-4.93;-0.634;-1.44;
1.43;-4.97;-0.645;-0.934;
1.38;-5.01;-0.652;-0.409;
1.33;-5.05;-0.654;0.136;
1.28;-5.09;-0.649;0.699;
1.23;-5.14;-0.639;1.28;
1.18;-5.2;-0.624;1.88;
1.12;-5.27;-0.602;2.5;
1.07;-5.36;-0.574;3.15;
1.02;-5.47;-0.539;3.83;
0.962;-5.6;-0.497;4.56;
0.905;-5.78;-0.447;5.34;
0.846;-5.99;-0.39;6.21;
0.785;-6.26;-0.323;7.17;
