theta0;omega0;theta1;omega1;
2.11;-2.16;-0.293;-2.2;
2.11;-2.17;-0.295;-2.2;
2.11;-2.18;-0.297;-2.21;
2.11;-2.19;-0.3;-2.21;
2.11;-2.2;-0.302;-2.21;
2.1;-2.21;-0.304;-2.21;
2.1;-2.22;-0.306;-2.22;
2.1;-2.23;-0.308;-2.22;
2.1;-2.24;-0.311;-2.22;
2.09;-2.25;-0.313;-2.22;
2.09;-2.26;-0.315;-2.22;
2.09;-2.27;-0.317;-2.22;
2.09;-2.28;-0.32;-2.22;
2.09;-2.29;-0.322;-2.22;
2.08;-2.3;-0.324;-2.23;
2.08;-2.31;-0.326;-2.23;
2.08;-2.31;-0.328;-2.23;
2.08;-2.32;-0.331;-2.23;
2.07;-2.33;-0.333;-2.23;
2.07;-2.34;-0.335;-2.23;
2.07;-2.35;-0.337;-2.23;
2.07;-2.36;-0.34;-2.23;
2.06;-2.37;-0.342;-2.23;
2.06;-2.38;-0.344;-2.23;
2.06;-2.39;-0.346;-2.23;
2.06;-2.4;-0.349;-2.23;
2.06;-2.41;-0.351;-2.23;
2.05;-2.42;-0.353;-2.23;
2.05;-2.43;-0.355;-2.23;
2.05;-2.44;-0.357;-2.22;
2.05;-2.45;-0.36;-2.22;
2.04;-2.46;-0.362;-2.22;
2.04;-2.47;-0.364;-2.22;
2.04;-2.47;-0.366;-2.22;
2.04;-2.48;-0.369;-2.22;
2.03;-2.49;-0.371;-2.22;
2.03;-2.5;-0.373;-2.22;
2.03;-2.51;-0.375;-2.21;
2.03;-2.52;-0.377;-2.21;
2.02;-2.53;-0.38;-2.21;
2.02;-2.54;-0.382;-2.21;
2.02;-2.55;-0.384;-2.2;
2.02;-2.56;-0.386;-2.2;
2.01;-2.57;-0.388;-2.2;
2.01;-2.58;-0.391;-2.2;
2.01;-2.59;-0.393;-2.19;
2.01;-2.59;-0.395;-2.19;
2;-2.6;-0.397;-2.19;
2;-2.61;-0.399;-2.18;
2;-2.62;-0.402;-2.18;
1.99;-2.63;-0.404;-2.18;
1.99;-2.64;-0.406;-2.17;
1.99;-2.65;-0.408;-2.17;
1.99;-2.66;-0.41;-2.16;
1.98;-2.67;-0.412;-2.16;
1.98;-2.68;-0.415;-2.16;
1.98;-2.69;-0.417;-2.15;
1.98;-2.69;-0.419;-2.15;
1.97;-2.7;-0.421;-2.14;
1.97;-2.71;-0.423;-2.14;
1.97;-2.72;-0.425;-2.13;
1.97;-2.73;-0.427;-2.13;
