theta0;omega0;theta1;omega1;
-0.835;4.23;-17.2;-1.85;
-0.831;4.23;-17.2;-1.89;
-0.827;4.23;-17.2;-1.93;
-0.823;4.23;-17.2;-1.98;
-0.818;4.23;-17.2;-2.02;
-0.814;4.23;-17.2;-2.06;
-0.81;4.23;-17.2;-2.1;
-0.806;4.23;-17.2;-2.14;
-0.802;4.23;-17.2;-2.19;
-0.797;4.23;-17.2;-2.23;
-0.793;4.23;-17.2;-2.27;
-0.789;4.23;-17.2;-2.31;
-0.785;4.23;-17.2;-2.36;
-0.78;4.23;-17.2;-2.4;
-0.776;4.22;-17.2;-2.44;
-0.772;4.22;-17.2;-2.49;
-0.768;4.22;-17.2;-2.53;
-0.764;4.22;-17.2;-2.57;
-0.759;4.22;-17.2;-2.62;
-0.755;4.22;-17.2;-2.66;
-0.751;4.22;-17.2;-2.71;
-0.747;4.22;-17.2;-2.75;
-0.742;4.22;-17.2;-2.79;
-0.738;4.22;-17.2;-2.84;
-0.734;4.22;-17.2;-2.88;
-0.73;4.22;-17.2;-2.93;
-0.726;4.22;-17.2;-2.97;
-0.721;4.22;-17.2;-3.02;
-0.717;4.22;-17.2;-3.06;
-0.713;4.22;-17.2;-3.11;
-0.709;4.22;-17.2;-3.15;
-0.704;4.23;-17.2;-3.19;
-0.7;4.23;-17.2;-3.24;
-0.696;4.23;-17.2;-3.29;
-0.692;4.23;-17.2;-3.33;
-0.688;4.23;-17.2;-3.38;
-0.683;4.23;-17.3;-3.42;
-0.679;4.23;-17.3;-3.47;
-0.675;4.23;-17.3;-3.51;
-0.671;4.23;-17.3;-3.56;
-0.666;4.23;-17.3;-3.6;
-0.662;4.24;-17.3;-3.65;
-0.658;4.24;-17.3;-3.7;
-0.654;4.24;-17.3;-3.74;
-0.649;4.24;-17.3;-3.79;
-0.645;4.24;-17.3;-3.83;
-0.641;4.24;-17.3;-3.88;
-0.637;4.25;-17.3;-3.93;
-0.632;4.25;-17.3;-3.97;
-0.628;4.25;-17.3;-4.02;
-0.624;4.25;-17.3;-4.07;
-0.62;4.26;-17.3;-4.11;
-0.615;4.26;-17.3;-4.16;
-0.611;4.26;-17.3;-4.21;
-0.607;4.27;-17.3;-4.25;
-0.603;4.27;-17.3;-4.3;
-0.598;4.27;-17.3;-4.35;
-0.594;4.28;-17.3;-4.39;
-0.59;4.28;-17.3;-4.44;
-0.586;4.28;-17.3;-4.49;
-0.581;4.29;-17.3;-4.54;
-0.577;4.29;-17.4;-4.58;
-0.573;4.3;-17.4;-4.63;
-0.568;4.3;-17.4;-4.68;
-0.564;4.3;-17.4;-4.73;
-0.56;4.31;-17.4;-4.78;
-0.555;4.31;-17.4;-4.82;
-0.551;4.32;-17.4;-4.87;
-0.547;4.32;-17.4;-4.92;
-0.542;4.33;-17.4;-4.97;
-0.538;4.34;-17.4;-5.02;
-0.534;4.34;-17.4;-5.07;
-0.529;4.35;-17.4;-5.12;
-0.525;4.35;-17.4;-5.17;
-0.521;4.36;-17.4;-5.22;
-0.516;4.37;-17.4;-5.27;
-0.512;4.37;-17.4;-5.32;
-0.508;4.38;-17.4;-5.37;
-0.503;4.39;-17.4;-5.42;
-0.499;4.4;-17.4;-5.47;
-0.494;4.4;-17.4;-5.52;
-0.49;4.41;-17.5;-5.57;
-0.486;4.42;-17.5;-5.62;
-0.481;4.43;-17.5;-5.67;
-0.477;4.44;-17.5;-5.73;
-0.472;4.44;-17.5;-5.78;
-0.468;4.45;-17.5;-5.83;
-0.463;4.46;-17.5;-5.88;
-0.459;4.47;-17.5;-5.94;
-0.455;4.48;-17.5;-5.99;
-0.45;4.49;-17.5;-6.05;
-0.446;4.5;-17.5;-6.1;
-0.441;4.51;-17.5;-6.15;
-0.436;4.52;-17.5;-6.21;
-0.432;4.54;-17.5;-6.26;
-0.427;4.55;-17.5;-6.32;
-0.423;4.56;-17.5;-6.38;
-0.418;4.57;-17.6;-6.43;
-0.414;4.58;-17.6;-6.49;
-0.409;4.6;-17.6;-6.55;
-0.405;4.61;-17.6;-6.6;
-0.4;4.62;-17.6;-6.66;
-0.395;4.64;-17.6;-6.72;
-0.391;4.65;-17.6;-6.78;
-0.386;4.66;-17.6;-6.84;
-0.381;4.68;-17.6;-6.9;
-0.377;4.69;-17.6;-6.96;
-0.372;4.71;-17.6;-7.02;
-0.367;4.72;-17.6;-7.09;
-0.362;4.74;-17.6;-7.15;
-0.358;4.76;-17.6;-7.21;
-0.353;4.77;-17.6;-7.28;
-0.348;4.79;-17.7;-7.34;
-0.343;4.81;-17.7;-7.41;
-0.339;4.82;-17.7;-7.47;
-0.334;4.84;-17.7;-7.54;
-0.329;4.86;-17.7;-7.61;
-0.324;4.88;-17.7;-7.67;
-0.319;4.9;-17.7;-7.74;
-0.314;4.92;-17.7;-7.81;
-0.309;4.94;-17.7;-7.88;
-0.304;4.96;-17.7;-7.96;
-0.299;4.98;-17.7;-8.03;
-0.294;5;-17.7;-8.1;
-0.289;5.03;-17.7;-8.18;
-0.284;5.05;-17.8;-8.25;
-0.279;5.07;-17.8;-8.33;
-0.274;5.1;-17.8;-8.41;
-0.269;5.12;-17.8;-8.49;
-0.264;5.15;-17.8;-8.57;
-0.259;5.17;-17.8;-8.65;
-0.254;5.2;-17.8;-8.73;
-0.248;5.23;-17.8;-8.82;
-0.243;5.25;-17.8;-8.9;
-0.238;5.28;-17.8;-8.99;
-0.233;5.31;-17.8;-9.08;
-0.227;5.34;-17.9;-9.16;
-0.222;5.37;-17.9;-9.26;
-0.217;5.4;-17.9;-9.35;
-0.211;5.43;-17.9;-9.44;
-0.206;5.46;-17.9;-9.54;
-0.2;5.49;-17.9;-9.63;
-0.195;5.53;-17.9;-9.73;
-0.189;5.56;-17.9;-9.83;
-0.184;5.6;-17.9;-9.94;
-0.178;5.63;-17.9;-10;
-0.172;5.67;-17.9;-10.1;
-0.167;5.71;-18;-10.3;
-0.161;5.75;-18;-10.4;
-0.155;5.79;-18;-10.5;
-0.149;5.83;-18;-10.6;
-0.143;5.87;-18;-10.7;
-0.138;5.91;-18;-10.8;
-0.132;5.95;-18;-10.9;
-0.126;6;-18;-11.1;
-0.12;6.04;-18;-11.2;
-0.114;6.09;-18.1;-11.3;
-0.107;6.13;-18.1;-11.5;
-0.101;6.18;-18.1;-11.6;
-0.0951;6.23;-18.1;-11.7;
-0.0888;6.28;-18.1;-11.9;
-0.0825;6.33;-18.1;-12;
-0.0762;6.38;-18.1;-12.1;
-0.0698;6.43;-18.1;-12.3;
-0.0633;6.49;-18.1;-12.4;
-0.0568;6.54;-18.2;-12.6;
-0.0502;6.6;-18.2;-12.7;
-0.0436;6.66;-18.2;-12.9;
-0.0369;6.71;-18.2;-13.1;
-0.0302;6.77;-18.2;-13.2;
-0.0234;6.83;-18.2;-13.4;
-0.0165;6.89;-18.2;-13.5;
-0.00959;6.95;-18.3;-13.7;
-0.00261;7.01;-18.3;-13.9;
0.00444;7.08;-18.3;-14;
0.0115;7.14;-18.3;-14.2;
0.0187;7.2;-18.3;-14.4;
0.0259;7.26;-18.3;-14.6;
0.0332;7.32;-18.3;-14.7;
0.0406;7.39;-18.4;-14.9;
0.048;7.45;-18.4;-15.1;
0.0555;7.51;-18.4;-15.2;
0.063;7.57;-18.4;-15.4;
0.0706;7.63;-18.4;-15.5;
0.0783;7.68;-18.4;-15.7;
0.086;7.74;-18.4;-15.9;
0.0938;7.79;-18.5;-16;
0.102;7.84;-18.5;-16.1;
0.109;7.89;-18.5;-16.3;
0.117;7.93;-18.5;-16.4;
0.125;7.97;-18.5;-16.5;
0.133;8.01;-18.5;-16.6;
0.141;8.04;-18.6;-16.7;
0.149;8.07;-18.6;-16.8;
0.157;8.09;-18.6;-16.8;
0.166;8.1;-18.6;-16.9;
0.174;8.12;-18.6;-16.9;
0.182;8.12;-18.6;-16.9;
0.19;8.12;-18.7;-16.9;
0.198;8.12;-18.7;-16.9;
0.206;8.11;-18.7;-16.9;
0.214;8.09;-18.7;-16.9;
0.222;8.07;-18.7;-16.8;
0.23;8.04;-18.7;-16.8;
0.238;8.01;-18.8;-16.7;
0.246;7.98;-18.8;-16.6;
0.254;7.94;-18.8;-16.5;
0.262;7.89;-18.8;-16.4;
0.27;7.85;-18.8;-16.3;
0.278;7.8;-18.8;-16.1;
0.286;7.74;-18.9;-16;
0.293;7.69;-18.9;-15.8;
0.301;7.63;-18.9;-15.7;
0.309;7.57;-18.9;-15.5;
0.316;7.5;-18.9;-15.4;
0.324;7.44;-18.9;-15.2;
0.331;7.38;-19;-15.1;
0.338;7.31;-19;-14.9;
0.346;7.25;-19;-14.7;
0.353;7.18;-19;-14.6;
0.36;7.12;-19;-14.4;
0.367;7.05;-19;-14.2;
0.374;6.99;-19;-14.1;
0.381;6.92;-19.1;-13.9;
0.388;6.86;-19.1;-13.7;
0.395;6.79;-19.1;-13.6;
0.402;6.73;-19.1;-13.4;
0.408;6.67;-19.1;-13.2;
0.415;6.61;-19.1;-13.1;
0.422;6.55;-19.1;-12.9;
0.428;6.49;-19.1;-12.8;
0.435;6.43;-19.2;-12.6;
0.441;6.37;-19.2;-12.5;
0.447;6.31;-19.2;-12.3;
0.454;6.26;-19.2;-12.2;
0.46;6.2;-19.2;-12.1;
0.466;6.15;-19.2;-11.9;
0.472;6.09;-19.2;-11.8;
0.478;6.04;-19.2;-11.7;
0.484;5.99;-19.3;-11.5;
0.49;5.94;-19.3;-11.4;
0.496;5.89;-19.3;-11.3;
0.502;5.84;-19.3;-11.2;
0.508;5.8;-19.3;-11;
0.513;5.75;-19.3;-10.9;
0.519;5.71;-19.3;-10.8;
0.525;5.66;-19.3;-10.7;
0.531;5.62;-19.3;-10.6;
0.536;5.58;-19.4;-10.5;
0.542;5.53;-19.4;-10.4;
0.547;5.49;-19.4;-10.3;
0.553;5.45;-19.4;-10.2;
0.558;5.41;-19.4;-10.1;
0.564;5.38;-19.4;-9.99;
0.569;5.34;-19.4;-9.89;
0.574;5.3;-19.4;-9.8;
0.579;5.27;-19.4;-9.71;
0.585;5.23;-19.4;-9.62;
0.59;5.2;-19.5;-9.53;
0.595;5.16;-19.5;-9.45;
0.6;5.13;-19.5;-9.36;
0.605;5.09;-19.5;-9.28;
0.61;5.06;-19.5;-9.2;
0.615;5.03;-19.5;-9.12;
0.621;5;-19.5;-9.04;
0.625;4.97;-19.5;-8.97;
0.63;4.94;-19.5;-8.89;
0.635;4.91;-19.5;-8.82;
0.64;4.88;-19.5;-8.74;
0.645;4.85;-19.6;-8.67;
0.65;4.82;-19.6;-8.6;
0.655;4.8;-19.6;-8.53;
0.66;4.77;-19.6;-8.46;
0.664;4.74;-19.6;-8.4;
0.669;4.72;-19.6;-8.33;
0.674;4.69;-19.6;-8.27;
0.678;4.67;-19.6;-8.2;
0.683;4.64;-19.6;-8.14;
0.688;4.62;-19.6;-8.08;
0.692;4.59;-19.6;-8.02;
0.697;4.57;-19.6;-7.96;
0.701;4.55;-19.7;-7.9;
0.706;4.53;-19.7;-7.84;
0.711;4.5;-19.7;-7.78;
0.715;4.48;-19.7;-7.73;
0.719;4.46;-19.7;-7.67;
0.724;4.44;-19.7;-7.62;
0.728;4.42;-19.7;-7.57;
0.733;4.4;-19.7;-7.51;
0.737;4.38;-19.7;-7.46;
0.742;4.36;-19.7;-7.41;
0.746;4.34;-19.7;-7.36;
0.75;4.32;-19.7;-7.31;
0.755;4.3;-19.7;-7.26;
0.759;4.28;-19.8;-7.21;
0.763;4.26;-19.8;-7.16;
0.767;4.24;-19.8;-7.11;
0.772;4.23;-19.8;-7.07;
0.776;4.21;-19.8;-7.02;
0.78;4.19;-19.8;-6.97;
0.784;4.17;-19.8;-6.93;
0.788;4.16;-19.8;-6.88;
0.792;4.14;-19.8;-6.84;
0.797;4.12;-19.8;-6.8;
0.801;4.11;-19.8;-6.75;
0.805;4.09;-19.8;-6.71;
0.809;4.08;-19.8;-6.67;
0.813;4.06;-19.8;-6.63;
0.817;4.05;-19.9;-6.59;
0.821;4.03;-19.9;-6.55;
0.825;4.02;-19.9;-6.51;
0.829;4;-19.9;-6.47;
0.833;3.99;-19.9;-6.43;
0.837;3.97;-19.9;-6.39;
0.841;3.96;-19.9;-6.35;
0.845;3.94;-19.9;-6.31;
0.849;3.93;-19.9;-6.27;
0.853;3.92;-19.9;-6.24;
0.857;3.9;-19.9;-6.2;
0.861;3.89;-19.9;-6.16;
0.865;3.88;-19.9;-6.13;
0.868;3.86;-19.9;-6.09;
0.872;3.85;-19.9;-6.06;
0.876;3.84;-19.9;-6.02;
0.88;3.83;-20;-5.99;
0.884;3.81;-20;-5.95;
0.888;3.8;-20;-5.92;
0.891;3.79;-20;-5.88;
0.895;3.78;-20;-5.85;
0.899;3.77;-20;-5.82;
0.903;3.76;-20;-5.79;
0.906;3.74;-20;-5.75;
0.91;3.73;-20;-5.72;
0.914;3.72;-20;-5.69;
0.918;3.71;-20;-5.66;
0.921;3.7;-20;-5.63;
0.925;3.69;-20;-5.59;
0.929;3.68;-20;-5.56;
0.932;3.67;-20;-5.53;
0.936;3.66;-20;-5.5;
0.94;3.65;-20;-5.47;
0.943;3.64;-20;-5.44;
0.947;3.63;-20.1;-5.41;
0.951;3.62;-20.1;-5.39;
0.954;3.61;-20.1;-5.36;
0.958;3.6;-20.1;-5.33;
0.961;3.59;-20.1;-5.3;
0.965;3.58;-20.1;-5.27;
0.969;3.57;-20.1;-5.24;
0.972;3.56;-20.1;-5.22;
0.976;3.55;-20.1;-5.19;
0.979;3.54;-20.1;-5.16;
0.983;3.53;-20.1;-5.13;
0.986;3.52;-20.1;-5.11;
0.99;3.51;-20.1;-5.08;
0.993;3.5;-20.1;-5.05;
0.997;3.49;-20.1;-5.03;
1;3.49;-20.1;-5;
1;3.48;-20.1;-4.98;
1.01;3.47;-20.1;-4.95;
1.01;3.46;-20.1;-4.93;
1.01;3.45;-20.2;-4.9;
1.02;3.44;-20.2;-4.88;
1.02;3.43;-20.2;-4.85;
1.02;3.43;-20.2;-4.83;
1.03;3.42;-20.2;-4.8;
1.03;3.41;-20.2;-4.78;
1.03;3.4;-20.2;-4.76;
1.04;3.39;-20.2;-4.73;
1.04;3.38;-20.2;-4.71;
1.04;3.38;-20.2;-4.69;
1.05;3.37;-20.2;-4.66;
1.05;3.36;-20.2;-4.64;
1.05;3.35;-20.2;-4.62;
1.06;3.34;-20.2;-4.6;
1.06;3.34;-20.2;-4.57;
1.06;3.33;-20.2;-4.55;
1.07;3.32;-20.2;-4.53;
1.07;3.31;-20.2;-4.51;
1.07;3.31;-20.2;-4.49;
1.08;3.3;-20.2;-4.47;
1.08;3.29;-20.2;-4.45;
1.08;3.28;-20.2;-4.43;
1.09;3.27;-20.3;-4.41;
1.09;3.27;-20.3;-4.39;
1.09;3.26;-20.3;-4.37;
1.1;3.25;-20.3;-4.35;
1.1;3.24;-20.3;-4.33;
1.1;3.24;-20.3;-4.31;
1.11;3.23;-20.3;-4.29;
1.11;3.22;-20.3;-4.27;
1.11;3.21;-20.3;-4.25;
1.12;3.21;-20.3;-4.23;
1.12;3.2;-20.3;-4.21;
1.12;3.19;-20.3;-4.2;
1.13;3.18;-20.3;-4.18;
1.13;3.18;-20.3;-4.16;
1.13;3.17;-20.3;-4.14;
1.14;3.16;-20.3;-4.13;
1.14;3.15;-20.3;-4.11;
1.14;3.15;-20.3;-4.09;
1.15;3.14;-20.3;-4.08;
1.15;3.13;-20.3;-4.06;
1.15;3.13;-20.3;-4.04;
1.16;3.12;-20.3;-4.03;
1.16;3.11;-20.3;-4.01;
1.16;3.1;-20.3;-4;
1.16;3.1;-20.4;-3.98;
1.17;3.09;-20.4;-3.97;
1.17;3.08;-20.4;-3.95;
1.17;3.07;-20.4;-3.94;
1.18;3.07;-20.4;-3.92;
1.18;3.06;-20.4;-3.91;
1.18;3.05;-20.4;-3.9;
1.19;3.04;-20.4;-3.88;
1.19;3.03;-20.4;-3.87;
1.19;3.03;-20.4;-3.86;
1.2;3.02;-20.4;-3.84;
1.2;3.01;-20.4;-3.83;
1.2;3;-20.4;-3.82;
1.2;3;-20.4;-3.81;
1.21;2.99;-20.4;-3.8;
1.21;2.98;-20.4;-3.78;
1.21;2.97;-20.4;-3.77;
1.22;2.97;-20.4;-3.76;
1.22;2.96;-20.4;-3.75;
1.22;2.95;-20.4;-3.74;
1.22;2.94;-20.4;-3.73;
1.23;2.93;-20.4;-3.72;
1.23;2.93;-20.4;-3.71;
1.23;2.92;-20.4;-3.7;
1.24;2.91;-20.4;-3.69;
1.24;2.9;-20.4;-3.68;
1.24;2.89;-20.5;-3.67;
1.25;2.89;-20.5;-3.66;
1.25;2.88;-20.5;-3.65;
1.25;2.87;-20.5;-3.65;
1.25;2.86;-20.5;-3.64;
1.26;2.85;-20.5;-3.63;
1.26;2.84;-20.5;-3.62;
1.26;2.84;-20.5;-3.61;
1.27;2.83;-20.5;-3.61;
1.27;2.82;-20.5;-3.6;
1.27;2.81;-20.5;-3.59;
1.27;2.8;-20.5;-3.59;
1.28;2.79;-20.5;-3.58;
1.28;2.78;-20.5;-3.57;
1.28;2.78;-20.5;-3.57;
1.28;2.77;-20.5;-3.56;
1.29;2.76;-20.5;-3.56;
1.29;2.75;-20.5;-3.55;
1.29;2.74;-20.5;-3.55;
1.3;2.73;-20.5;-3.54;
1.3;2.72;-20.5;-3.54;
1.3;2.71;-20.5;-3.53;
1.3;2.71;-20.5;-3.53;
1.31;2.7;-20.5;-3.53;
1.31;2.69;-20.5;-3.52;
1.31;2.68;-20.5;-3.52;
1.31;2.67;-20.5;-3.51;
1.32;2.66;-20.5;-3.51;
1.32;2.65;-20.6;-3.51;
1.32;2.64;-20.6;-3.51;
1.33;2.63;-20.6;-3.5;
1.33;2.62;-20.6;-3.5;
1.33;2.61;-20.6;-3.5;
1.33;2.61;-20.6;-3.5;
1.34;2.6;-20.6;-3.49;
1.34;2.59;-20.6;-3.49;
1.34;2.58;-20.6;-3.49;
1.34;2.57;-20.6;-3.49;
1.35;2.56;-20.6;-3.49;
1.35;2.55;-20.6;-3.49;
1.35;2.54;-20.6;-3.48;
1.35;2.53;-20.6;-3.48;
1.36;2.52;-20.6;-3.48;
1.36;2.51;-20.6;-3.48;
1.36;2.5;-20.6;-3.48;
1.36;2.49;-20.6;-3.48;
1.37;2.48;-20.6;-3.48;
1.37;2.47;-20.6;-3.48;
1.37;2.46;-20.6;-3.48;
1.37;2.45;-20.6;-3.48;
1.38;2.44;-20.6;-3.48;
1.38;2.43;-20.6;-3.48;
1.38;2.43;-20.6;-3.48;
1.38;2.42;-20.6;-3.48;
1.39;2.41;-20.6;-3.48;
1.39;2.4;-20.6;-3.48;
1.39;2.39;-20.7;-3.48;
1.39;2.38;-20.7;-3.49;
1.4;2.37;-20.7;-3.49;
1.4;2.36;-20.7;-3.49;
1.4;2.35;-20.7;-3.49;
1.4;2.34;-20.7;-3.49;
1.4;2.33;-20.7;-3.49;
1.41;2.32;-20.7;-3.49;
1.41;2.31;-20.7;-3.49;
1.41;2.3;-20.7;-3.5;
1.41;2.29;-20.7;-3.5;
1.42;2.28;-20.7;-3.5;
1.42;2.27;-20.7;-3.5;
1.42;2.26;-20.7;-3.5;
1.42;2.25;-20.7;-3.5;
1.43;2.24;-20.7;-3.51;
1.43;2.23;-20.7;-3.51;
1.43;2.22;-20.7;-3.51;
1.43;2.21;-20.7;-3.51;
1.43;2.2;-20.7;-3.51;
1.44;2.19;-20.7;-3.52;
1.44;2.18;-20.7;-3.52;
1.44;2.17;-20.7;-3.52;
1.44;2.16;-20.7;-3.52;
1.45;2.15;-20.7;-3.52;
1.45;2.14;-20.7;-3.53;
1.45;2.13;-20.7;-3.53;
1.45;2.12;-20.7;-3.53;
1.45;2.11;-20.7;-3.53;
1.46;2.1;-20.8;-3.53;
1.46;2.1;-20.8;-3.54;
1.46;2.09;-20.8;-3.54;
1.46;2.08;-20.8;-3.54;
1.46;2.07;-20.8;-3.54;
1.47;2.06;-20.8;-3.54;
1.47;2.05;-20.8;-3.55;
1.47;2.04;-20.8;-3.55;
1.47;2.03;-20.8;-3.55;
1.47;2.02;-20.8;-3.55;
1.48;2.01;-20.8;-3.55;
1.48;2;-20.8;-3.56;
1.48;1.99;-20.8;-3.56;
1.48;1.98;-20.8;-3.56;
1.48;1.97;-20.8;-3.56;
1.49;1.96;-20.8;-3.56;
1.49;1.95;-20.8;-3.57;
1.49;1.94;-20.8;-3.57;
1.49;1.94;-20.8;-3.57;
1.49;1.93;-20.8;-3.57;
1.5;1.92;-20.8;-3.57;
1.5;1.91;-20.8;-3.57;
1.5;1.9;-20.8;-3.58;
1.5;1.89;-20.8;-3.58;
1.5;1.88;-20.8;-3.58;
1.51;1.87;-20.8;-3.58;
1.51;1.86;-20.8;-3.58;
1.51;1.85;-20.8;-3.58;
1.51;1.84;-20.9;-3.58;
1.51;1.84;-20.9;-3.58;
1.51;1.83;-20.9;-3.59;
1.52;1.82;-20.9;-3.59;
1.52;1.81;-20.9;-3.59;
1.52;1.8;-20.9;-3.59;
1.52;1.79;-20.9;-3.59;
1.52;1.78;-20.9;-3.59;
1.53;1.77;-20.9;-3.59;
1.53;1.77;-20.9;-3.59;
1.53;1.76;-20.9;-3.59;
1.53;1.75;-20.9;-3.59;
1.53;1.74;-20.9;-3.6;
1.53;1.73;-20.9;-3.6;
1.54;1.72;-20.9;-3.6;
1.54;1.71;-20.9;-3.6;
1.54;1.71;-20.9;-3.6;
1.54;1.7;-20.9;-3.6;
1.54;1.69;-20.9;-3.6;
1.54;1.68;-20.9;-3.6;
1.55;1.67;-20.9;-3.6;
1.55;1.66;-20.9;-3.6;
1.55;1.66;-20.9;-3.6;
1.55;1.65;-20.9;-3.6;
1.55;1.64;-20.9;-3.6;
1.55;1.63;-20.9;-3.6;
1.56;1.62;-20.9;-3.6;
1.56;1.61;-20.9;-3.6;
1.56;1.61;-21;-3.6;
1.56;1.6;-21;-3.6;
1.56;1.59;-21;-3.6;
1.56;1.58;-21;-3.6;
1.57;1.57;-21;-3.6;
1.57;1.57;-21;-3.6;
1.57;1.56;-21;-3.6;
1.57;1.55;-21;-3.6;
1.57;1.54;-21;-3.6;
1.57;1.53;-21;-3.6;
1.57;1.53;-21;-3.59;
1.58;1.52;-21;-3.59;
1.58;1.51;-21;-3.59;
1.58;1.5;-21;-3.59;
1.58;1.49;-21;-3.59;
1.58;1.49;-21;-3.59;
1.58;1.48;-21;-3.59;
1.59;1.47;-21;-3.59;
1.59;1.46;-21;-3.59;
1.59;1.46;-21;-3.59;
1.59;1.45;-21;-3.59;
1.59;1.44;-21;-3.58;
1.59;1.43;-21;-3.58;
1.59;1.42;-21;-3.58;
1.6;1.42;-21;-3.58;
1.6;1.41;-21;-3.58;
1.6;1.4;-21;-3.58;
1.6;1.39;-21;-3.58;
1.6;1.39;-21.1;-3.57;
1.6;1.38;-21.1;-3.57;
1.6;1.37;-21.1;-3.57;
1.61;1.36;-21.1;-3.57;
1.61;1.36;-21.1;-3.57;
1.61;1.35;-21.1;-3.57;
1.61;1.34;-21.1;-3.56;
1.61;1.33;-21.1;-3.56;
1.61;1.33;-21.1;-3.56;
1.61;1.32;-21.1;-3.56;
1.61;1.31;-21.1;-3.56;
1.62;1.31;-21.1;-3.55;
1.62;1.3;-21.1;-3.55;
1.62;1.29;-21.1;-3.55;
1.62;1.28;-21.1;-3.55;
1.62;1.28;-21.1;-3.55;
1.62;1.27;-21.1;-3.54;
1.62;1.26;-21.1;-3.54;
1.62;1.25;-21.1;-3.54;
1.63;1.25;-21.1;-3.54;
1.63;1.24;-21.1;-3.53;
1.63;1.23;-21.1;-3.53;
1.63;1.23;-21.1;-3.53;
1.63;1.22;-21.1;-3.53;
1.63;1.21;-21.1;-3.52;
1.63;1.2;-21.1;-3.52;
1.63;1.2;-21.1;-3.52;
1.64;1.19;-21.1;-3.52;
1.64;1.18;-21.2;-3.51;
1.64;1.18;-21.2;-3.51;
1.64;1.17;-21.2;-3.51;
1.64;1.16;-21.2;-3.51;
1.64;1.15;-21.2;-3.5;
1.64;1.15;-21.2;-3.5;
1.64;1.14;-21.2;-3.5;
1.65;1.13;-21.2;-3.49;
1.65;1.13;-21.2;-3.49;
1.65;1.12;-21.2;-3.49;
1.65;1.11;-21.2;-3.49;
1.65;1.1;-21.2;-3.48;
1.65;1.1;-21.2;-3.48;
1.65;1.09;-21.2;-3.48;
1.65;1.08;-21.2;-3.47;
1.65;1.08;-21.2;-3.47;
1.66;1.07;-21.2;-3.47;
1.66;1.06;-21.2;-3.46;
1.66;1.06;-21.2;-3.46;
1.66;1.05;-21.2;-3.46;
1.66;1.04;-21.2;-3.45;
1.66;1.03;-21.2;-3.45;
1.66;1.03;-21.2;-3.45;
1.66;1.02;-21.2;-3.44;
1.66;1.01;-21.2;-3.44;
1.66;1.01;-21.2;-3.44;
1.67;1;-21.2;-3.43;
1.67;0.993;-21.2;-3.43;
1.67;0.986;-21.2;-3.43;
1.67;0.98;-21.3;-3.42;
1.67;0.973;-21.3;-3.42;
1.67;0.966;-21.3;-3.42;
1.67;0.959;-21.3;-3.41;
1.67;0.952;-21.3;-3.41;
1.67;0.945;-21.3;-3.41;
1.67;0.938;-21.3;-3.4;
1.68;0.931;-21.3;-3.4;
1.68;0.924;-21.3;-3.4;
1.68;0.918;-21.3;-3.39;
1.68;0.911;-21.3;-3.39;
1.68;0.904;-21.3;-3.39;
1.68;0.897;-21.3;-3.38;
1.68;0.89;-21.3;-3.38;
1.68;0.883;-21.3;-3.37;
1.68;0.876;-21.3;-3.37;
1.68;0.87;-21.3;-3.37;
1.68;0.863;-21.3;-3.36;
1.68;0.856;-21.3;-3.36;
1.69;0.849;-21.3;-3.36;
1.69;0.842;-21.3;-3.35;
1.69;0.835;-21.3;-3.35;
1.69;0.828;-21.3;-3.35;
1.69;0.822;-21.3;-3.34;
1.69;0.815;-21.3;-3.34;
1.69;0.808;-21.3;-3.33;
1.69;0.801;-21.3;-3.33;
1.69;0.794;-21.3;-3.33;
1.69;0.787;-21.3;-3.32;
1.69;0.78;-21.4;-3.32;
1.69;0.773;-21.4;-3.31;
1.7;0.767;-21.4;-3.31;
1.7;0.76;-21.4;-3.31;
1.7;0.753;-21.4;-3.3;
1.7;0.746;-21.4;-3.3;
1.7;0.739;-21.4;-3.29;
1.7;0.732;-21.4;-3.29;
1.7;0.725;-21.4;-3.29;
1.7;0.718;-21.4;-3.28;
1.7;0.712;-21.4;-3.28;
1.7;0.705;-21.4;-3.27;
1.7;0.698;-21.4;-3.27;
1.7;0.691;-21.4;-3.27;
1.7;0.684;-21.4;-3.26;
1.7;0.677;-21.4;-3.26;
1.71;0.67;-21.4;-3.25;
1.71;0.663;-21.4;-3.25;
1.71;0.656;-21.4;-3.25;
1.71;0.65;-21.4;-3.24;
1.71;0.643;-21.4;-3.24;
1.71;0.636;-21.4;-3.23;
1.71;0.629;-21.4;-3.23;
1.71;0.622;-21.4;-3.23;
1.71;0.615;-21.4;-3.22;
1.71;0.608;-21.4;-3.22;
1.71;0.601;-21.4;-3.21;
1.71;0.594;-21.4;-3.21;
1.71;0.587;-21.4;-3.21;
1.71;0.58;-21.4;-3.2;
1.71;0.573;-21.4;-3.2;
1.71;0.566;-21.5;-3.19;
1.72;0.559;-21.5;-3.19;
1.72;0.552;-21.5;-3.19;
1.72;0.545;-21.5;-3.18;
1.72;0.539;-21.5;-3.18;
1.72;0.532;-21.5;-3.17;
1.72;0.525;-21.5;-3.17;
1.72;0.518;-21.5;-3.16;
1.72;0.511;-21.5;-3.16;
1.72;0.504;-21.5;-3.16;
1.72;0.497;-21.5;-3.15;
1.72;0.49;-21.5;-3.15;
1.72;0.483;-21.5;-3.14;
1.72;0.475;-21.5;-3.14;
